"Employee No","Employee Name","Total Hours","Total Available Hours","Total Work Hours","Total Leave Hours","Total Training Hours","Total BD Hours","Total NC Hours","Total Utilization%","No of Working Years","Profit Center","Employee Position","Employee Location","Employee Category","Supervisor name","People Group","Current Status"
486,"Myrtie Brana",4168,3588,628.9,504,76,1459.5,1575.1,17.55,2.33,"PC - 2","Level 4","Location 7","Confirmed Staff","Annnora Gabrielle","Client Service Staff",Active
487,"Carolynn Alicia",3128,2734,0,384,10,0,2830,0,2.33,"PC - 2","Level A1","Location 7","Confirmed Staff","Annnora Gabrielle","Support Staff",Active
488,"Libbie Melantha",4168,3848,2936,296,24,12,1057.5,76.3,2.33,"PC - 2","Level 7","Location 7","Confirmed Staff","Terza Gwyn","Client Service Staff",Active
489,"Tessa Sibylla",928,880.5,314,40,7.5,0,574.5,17.83,0.84,"PC - 3","Level 5","Location 1","Serving Notice Period","Cacilia Aimee","Client Service Staff",Resigned
490,"Abagail Druci",4168,3616,2326,552,0,0,1532,64.27,2.33,"PC - 5","Level 6","Location 1","Confirmed Staff","Orsa Margeaux","Client Service Staff",Active
491,"Jillana Vivi",4168,3540,1835,504,124,0,1722,51.78,2.25,"PC - 1","Level 5","Location 3","Confirmed Staff","Irene Candis","Client Service Staff",Active
492,"Ginni Randie",4168,3689.5,3229,440,38.5,0,676.5,87.41,2.25,"PC - 1","Level 7","Location 3","Confirmed Staff","Katuscha Pru","Client Service Staff",Active
493,"Tammy Marieann",4168,3863.5,3832,280,24.5,0,56,99.15,2.25,"PC - 5","Level 8","Location 3","Confirmed Staff","Luciana Erika","Client Service Staff",Active
494,"Arluene Zorina",4168,3863.5,3397,272,32.5,0,536,87.96,2.25,"PC - 5","Level 7","Location 3","Confirmed Staff","Cherise Lainey","Client Service Staff",Active
495,"Mufinella Austine",3336,3085,2520,248,3,104,493,83.2,2.25,"PC - 6","Level 8","Location 3","Confirmed Staff","Lee Alfie","Client Service Staff",Active
496,"Pet Melisse",1280,1103,825,176,1,31,256,37.4,0.92,"PC - 2","Level 7","Location 7","Serving Notice Period","Dorotea Inger","Client Service Staff",Resigned
497,"Minnaminnie Anitra",4168,3473,2960.25,661,34,0,690,85.48,2.25,"PC - 3","Level 7","Location 1","Confirmed Staff","Xylina Beatriz","Client Service Staff",Active
498,"Sile Lorrie",4168,3839.5,264,268,60.5,412,3414.5,6.87,2.25,"PC - 2","Level 4","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
499,"Elyn Kala",4168,3286.5,3416,808,73.5,0,95,103.94,2.25,"PC - 1","Level 7","Location 3","Confirmed Staff","Ilsa Marigold","Client Service Staff",Active
500,"Georgeanne Shalne",3048,2783,1517,224,41,0,1528,62.14,2.25,"PC - 5","Level 6","Location 3","Confirmed Staff","Cherise Lainey","Client Service Staff",Active
501,"Clemmie Edy",368,368,0,0,0,0,440,0,1.25,"PC - 10","Level 8","Location 7","Serving Notice Period","Ailyn Marie-Ann","Client Service Staff",Resigned
502,"Dell Clary",4168,3631.5,3307,364,172.5,22,511.5,90.9,2.25,"PC - 2","Level 6","Location 7","Confirmed Staff","Philippe Kizzie","Client Service Staff",Active
503,"Rubetta Elnora",4168,3592,1856,404,172,44,1778,50.72,2.25,"PC - 2","Level 8","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
504,"Adina Hyacinthia",4168,3667.5,3124,484,16.5,16,533,85.36,2.25,"PC - 5","Level 8","Location 7","Confirmed Staff","Hedwiga Mehetabel","Client Service Staff",Active
505,"Tove Corabella",4168,3608,3284,480,80,0,764,90.96,2.25,"PC - 2","Level 8","Location 7","Confirmed Staff","Tallulah Kassia","Client Service Staff",Active
506,"Grayce Electra",4168,3641.75,2859,496,30.25,0,1453,78.38,2.16,"PC - 1","Level 7","Location 3","Confirmed Staff","Sybil Georgianna","Client Service Staff",Active
507,"Bernetta Edithe",2720,2522,1861,128,70,16,859.5,70.03,2.16,"PC - 3","Level 8","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
508,"Gus Alida",4168,3896,3212.5,272,0,0,1348.5,82.5,2.16,"PC - 3","Level 7","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
509,"Fleurette Minny",4168,3440.5,3255,683,44.5,0,441.5,93.88,2.16,"PC - 3","Level 7","Location 4","Confirmed Staff","Oriana Tabby","Client Service Staff",Active
510,"Maurita La Verne",4168,3860.5,3835,248,59.5,0,232.5,99.34,2.16,"PC - 3","Level 7","Location 4","Confirmed Staff","Oriana Tabby","Client Service Staff",Active
511,"Cairistiona Honor",4168,3689.5,3372.5,392,86.5,240,160,91.44,2.16,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
512,"Jazmin Kyla",4168,3588,3078,420,160,0,741,85.84,2.16,"PC - 2","Level 7","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
513,"Giacinta Amber",4168,3743,3486,368,57,0,470,93.08,2.16,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
514,"Krista Patrica",4168,3744,3288,388,36,0,594,87.82,2.16,"PC - 1","Level 7","Location 3","Confirmed Staff","Blondy Tatiania","Client Service Staff",Active
515,"Zenia Sukey",4168,3627,3340,504,37,0,384,92.26,2.16,"PC - 1","Level 8","Location 3","Confirmed Staff","Blondy Tatiania","Client Service Staff",Active
516,"Nesta Bibbie",4168,3855.5,3624,296,16.5,0,912,93.87,2.16,"PC - 5","Level 7","Location 3","Confirmed Staff","Luciana Erika","Client Service Staff",Active
517,"Crissie Candida",4168,3838,3518,244,86,0,767,91.48,2.16,"PC - 2","Level 8","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
518,"Alie Franni",2360,2075,1881,208,77,0,335,79.56,1.33,"PC - 2","Level 8","Location 7","Serving Notice Period","Myrtie Brana","Client Service Staff",Resigned
519,"Jodee Tori",4168,3630,3912,500,38,0,270.5,107.98,2.16,"PC - 3","Level 7","Location 1","Confirmed Staff","Vonni Bethena","Client Service Staff",Active
520,"Marielle Nissy",3328,2981,2156,344,3,116,717,69.47,2.16,"PC - 6","Level 6","Location 3","Confirmed Staff","Lee Alfie","Client Service Staff",Active
521,"Bertie Kailey",4168,3678,3231,368,122,0,716.5,87.78,2.16,"PC - 3","Level 8","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
522,"Betsey Afton",4168,3719,3216,336,113,0,889,86.27,2.16,"PC - 2","Level 6","Location 7","Confirmed Staff","Dore Natalya","Client Service Staff",Active
523,"Deeyn Arlee",280,280,272,0,0,0,16,48.57,0.33,"PC - 1","Level 10","Location 3","Serving Notice Period","Ardys Katerine","Client Service Staff",Resigned
524,"Sophey Odelia",4168,3732.5,3646,384,51.5,0,281.5,97.68,2.16,"PC - 3","Level 7","Location 4","Confirmed Staff","Oriana Tabby","Client Service Staff",Active
525,"Faunie Amil",4168,3796.5,3480,316,55.5,24,580.5,91.66,2.16,"PC - 1","Level 6","Location 3","Confirmed Staff","Trudey Lissi","Client Service Staff",Active
526,"Jocelyn Norah",4168,3634,1757,512,22,0,1885,48.15,2.16,"PC - 3","Level 6","Location 5","Confirmed Staff","Kylen Evania","Client Service Staff",Active
527,"Denyse Johnette",4168,3888,3904,264,16,8,31,100.42,2.16,"PC - 6","Level 7","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
528,"Paule Aleen",4168,3672,3538,488,8,200,240,96.66,2.16,"PC - 3","Level 7","Location 1","Confirmed Staff","Yolanthe Laurella","Client Service Staff",Active
529,"Olia Janeen",4008,3408.5,2817,504,95.5,0,1007.5,81.25,2.16,"PC - 3","Level 7","Location 4","Confirmed Staff","Genvieve Celeste","Client Service Staff",Active
530,"Candide Pegeen",4168,3554,3021.5,492,122,0,784.5,85.04,2.16,"PC - 3","Level 7","Location 4","Confirmed Staff","Genvieve Celeste","Client Service Staff",Active
531,"Merci Ayn",4168,3598.75,2744,520,49.25,0,867,76.08,2.16,"PC - 1","Level 7","Location 3","Confirmed Staff","Vinni Calypso","Client Service Staff",Active
532,"Isabelita Claudie",2488,2248,1512,224,16,0,800,45.76,2.16,"PC - 1","Level 8","Location 3","Serving Notice Period","Ezmeralda Nisse","Client Service Staff",Active
533,"Merl Ardis",4168,3883,3995,272,13,0,0,102.85,2.08,"PC - 6","Level 7","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
534,"Quintana Karlotta",4168,3645,2813,504,19,8,928,77.39,2.08,"PC - 2","Level 7","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
535,"Elva Annmarie",4168,3716.5,3503.5,336,115.5,3,383.5,94.2,2.08,"PC - 2","Level 7","Location 7","Confirmed Staff","Aimil Latisha","Client Service Staff",Active
536,"Katalin Anjela",4168,3851,3132,296,21,0,1012,81.32,2.08,"PC - 3","Level 6","Location 4","Confirmed Staff","Hedi Elna","Client Service Staff",Active
537,"Pammy Rowe",4168,3810,2755,296,62,0,1134,72.5,2.08,"PC - 2","Level 6","Location 7","Confirmed Staff","Beverley Laney","Client Service Staff",Active
538,"Rosina Andriette",2128,1888,1149,160,80,8,831,31.09,1.25,"PC - 2","Level 7","Location 7","Serving Notice Period","Sile Lorrie","Client Service Staff",Resigned
539,"Angelita Aline",2768,2372,2188,392,4,0,272,86.42,2.08,"PC - 1","Level 8","Location 3","Confirmed Staff","Ilsa Marigold","Client Service Staff",Active
540,"Fawn Desiri",4168,3739,3728.5,324,105,0,352.5,99.5,2.08,"PC - 2","Level 7","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
541,"Elfrida Pollyanna",1888,1692,1620,184,12,0,72,47.87,1.00,"PC - 1","Level 6","Location 3","Serving Notice Period","Alvinia Ede","Client Service Staff",Resigned
542,"Gwennie Brandise",4168,3647,3331,403,118,0,496,91.39,2.08,"PC - 2","Level 7","Location 7","Confirmed Staff","Tallulah Kassia","Client Service Staff",Active
543,"Linette Thea",3608,3097,2581,392,119,109,674,82.66,2.08,"PC - 1","Level 6","Location 3","Confirmed Staff","Em Cacilie","Client Service Staff",Active
544,"Elli Noreen",1648,1544,756,104,0,0,788,24.48,0.92,"PC - 6","Level 8","Location 3","Serving Notice Period","Stacey Cassey","Client Service Staff",Resigned
545,"Sheelagh Vivia",4168,3687.5,3337,456,24.5,160,283.5,90.25,2.08,"PC - 3","Level 7","Location 1","Confirmed Staff","Zaneta Arlette","Client Service Staff",Active
546,"Stevana Leticia",4168,3630.5,3054,484,53.5,0,738.5,84.2,2.08,"PC - 2","Level 7","Location 7","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
547,"Nana Michell",2848,2567,2403,248,33,0,267,95.56,2.08,"PC - 1","Level 7","Location 3","Confirmed Staff","Ilsa Marigold","Client Service Staff",Active
548,"Ami Concordia",4168,3604.34,3260,528,35.66,0,380,90.48,2.08,"PC - 5","Level 8","Location 3","Confirmed Staff","Gavra Kayle","Client Service Staff",Active
549,"Claudette Jessalin",4168,3681,3455,412,75,0,274,93.88,2.08,"PC - 1","Level 7","Location 3","Confirmed Staff","Agnes Stacie","Client Service Staff",Active
550,"Austina Dorisa",1904,1726,582,152,26,410,770,16.86,0.92,"PC - 2","Level 4","Location 7","Serving Notice Period","Daryl Natalina","Client Service Staff",Resigned
551,"Ursa Flore",1216,1028.5,724,136,51.5,0,429.5,35.2,0.59,"PC - 2","Level 8","Location 7","Serving Notice Period","Aimil Latisha","Client Service Staff",Resigned
552,"Tish Regan",4168,3626,3206.5,468,74,0,505.5,88.58,2.00,"PC - 5","Level 8","Location 7","Confirmed Staff","Hedwiga Mehetabel","Client Service Staff",Active
553,"Zitella Claudetta",760,724,432,8,28,0,300,29.84,0.42,"PC - 2","Level 6","Location 7","Serving Notice Period","Dorotea Inger","Client Service Staff",Resigned
554,"Yelena Engracia",3568,3429,3333,136,3,0,112,97.54,2.00,"PC - 6","Level 8","Location 3","Confirmed Staff","Stacey Cassey","Client Service Staff",Active
555,"Liz Juanita",3080,2588.5,1443,409,82.5,0,1389.5,40.35,2.00,"PC - 3","Level 7","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
556,"Buffy Glynda",4168,3682.75,3354,432,53.25,0,431,91.07,2.00,"PC - 1","Level 7","Location 3","Confirmed Staff","Audi Stephana","Client Service Staff",Active
557,"Yolande Candace",3288,2859,2750.5,352,77,0,211.5,94.2,2.00,"PC - 3","Level 7","Location 4","Confirmed Staff","Genvieve Celeste","Client Service Staff",Active
558,"Con Sallee",4168,3776.5,3250,320,71.5,0,1015.5,86.1,2.00,"PC - 3","Level 7","Location 1","Confirmed Staff","Cortney Wanids","Client Service Staff",Active
559,"Melisa Ramona",4168,3645.5,3616.5,380,142.5,0,133,99.25,2.00,"PC - 2","Level 7","Location 7","Confirmed Staff","Nancee Deirdre","Client Service Staff",Active
560,"Sabina Karrah",4168,3872,2773,288,8,0,1153,72.17,2.00,"PC - 1","Level 7","Location 3","Confirmed Staff","Erminie Ericka","Client Service Staff",Active
561,"Lauren Verna",4168,3773.5,3044,376,18.5,0,857,80.69,2.00,"PC - 3","Level 6","Location 1","Confirmed Staff","Agata Theodosia","Client Service Staff",Active
562,"Mireille Barbie",3520,3139,2332,368,13,80,783,72.73,1.92,"PC - 6","Level 6","Location 3","Confirmed Staff","Lee Alfie","Client Service Staff",Active
563,"Alberta Nessi",4160,3607.5,2166,511,41.5,0,1609.5,59.98,1.92,"PC - 3","Level 7","Location 5","Confirmed Staff","Deloris Gabriella","Client Service Staff",Active
564,"Clarice Lela",4160,3919,2864.5,224,17,0,1078.5,72.92,1.92,"PC - 3","Level 8","Location 5","Confirmed Staff","Deloris Gabriella","Client Service Staff",Active
565,"Minne Tilda",4160,3571.5,3707,448,140.5,0,248.5,103.88,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Nancee Deirdre","Client Service Staff",Active
566,"Katinka Roxy",4120,3683.5,3420,360,76.5,16,579.5,92.74,1.92,"PC - 6","Level 8","Location 1","Confirmed Staff","Tiena Hatti","Client Service Staff",Active
567,"Lyn Pansy",4120,3755.5,2351,320,44.5,0,1632.5,62.4,1.92,"PC - 3","Level 6","Location 1","Confirmed Staff","Kalindi Toma","Client Service Staff",Active
568,"Jeanelle Agace",4120,3614.44,2558.5,376,129.56,0,1251.94,70.78,1.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Gisella Nickie","Client Service Staff",Active
569,"Tiphany Idelle",4120,3678,3118,304,138,0,599,84.62,1.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Sybil Georgianna","Client Service Staff",Active
570,"Bobette Portia",4120,3666,3250,376,78,151,342,88.79,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Sile Lorrie","Client Service Staff",Active
571,"Wileen Dyanna",4120,3470,3395,512,138,0,436,97.72,1.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
572,"Terrie Rosemaria",4120,3643.5,3521,352,124.5,93,135,96.66,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
573,"Esma Peggi",4120,3746,3667,324,50,4,622,97.82,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Myrtie Brana","Client Service Staff",Active
574,"Tabitha Heidie",4120,3525,2805,491,104,40,814,79.46,1.92,"PC - 5","Level 7","Location 7","Confirmed Staff","Rosabella Arlina","Client Service Staff",Active
575,"Annette Talya",1912,1721,1693,140,51,0,126,49.18,0.92,"PC - 6","Level 8","Location 7","Serving Notice Period","Frances Mignonne","Client Service Staff",Resigned
576,"Perri Lani",3080,2828,2277,204,48,0,700,76.03,1.92,"PC - 6","Level 7","Location 7","Confirmed Staff","Pamelina Shalna","Client Service Staff",Active
577,"Eddi Sheree",4120,3795,3539,252,73,0,715.5,92.98,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Trenna Mureil","Client Service Staff",Active
578,"Violetta Ronnica",4120,3636.5,3274,348,135.5,9,538,89.94,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Tallulah Kassia","Client Service Staff",Active
579,"Ernestine Anica",4120,3599,2940,448,73,0,738,81.4,1.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Gisella Nickie","Client Service Staff",Active
580,"Ranice Gilberte",4120,3732,3237,312,76,8,575,86.86,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Jillian Lorelei","Client Service Staff",Active
581,"Valencia Veronica",400,376,89,0,24,0,316,11.84,0.17,"PC - 2","Level 8","Location 7","Serving Notice Period","Myrtie Brana","Client Service Staff",Resigned
582,"Demeter Aryn",2992,2604,2046,320,68,0,711,74.86,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Sile Lorrie","Client Service Staff",Active
583,"Deva Anita",4120,3577,2586,456,87,0,1107,72.14,1.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Gisella Nickie","Client Service Staff",Active
584,"Darline Gerhardine",4120,3463.5,3111.5,536,120.5,0,409,89.46,1.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Sybil Georgianna","Client Service Staff",Active
585,"Morganica Nanny",2776,2383,1876.41,352,41,0,617,73.57,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
586,"Madonna Constantina",4120,3650,3141,340,130,0,662,85.96,1.92,"PC - 2","Level 7","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
587,"Gretta Sarina",4120,3563.5,3479,388,168.5,0,739,97.75,1.92,"PC - 2","Level 7","Location 9","Confirmed Staff","Orelee Hanna","Client Service Staff",Active
588,"Nonie Jasmina",4080,3625.5,3484,360,94.5,0,677.5,96.08,1.92,"PC - 1","Level 6","Location 3","Confirmed Staff","Audi Stephana","Client Service Staff",Active
589,"Rebe Melicent",4080,3567.75,2875.5,448,64.25,0,728.25,80.31,1.92,"PC - 1","Level 7","Location 3","Confirmed Staff","Blondy Tatiania","Client Service Staff",Active
590,"Karin Alica",4080,3744.5,2144,280,55.5,0,2017.5,56.8,1.92,"PC - 3","Level 7","Location 4","Confirmed Staff","Hedi Elna","Client Service Staff",Active
591,"Morgana Blondie",4080,3538,3107.5,364,178,243.5,527,87.72,1.92,"PC - 6","Level 6","Location 2","Confirmed Staff","Tallia Eyde","Client Service Staff",Active
592,"Querida Dulcine",3920,3435,3141,340,145,5.5,425,91.24,1.92,"PC - 2","Level 8","Location 7","Confirmed Staff","Grata Rochella","Client Service Staff",Active
593,"Dorotea Inger",4040,3331.7,127.5,604,104.3,1897,1356.2,3.83,1.92,"PC - 2","Level 3","Location 7","Confirmed Staff","Daryl Natalina","Client Service Staff",Active
594,"Micky Barb",1120,984,701,80,56,0,374,35.62,0.50,"PC - 2","Level 7","Location 7","Serving Notice Period","Myrtie Brana","Client Service Staff",Resigned
595,"Bea Vale",4000,3414.75,2574,472,113.25,0,1305.5,74.99,1.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Jillana Vivi","Client Service Staff",Active
596,"Vanna Jill",24,24,0,0,0,0,0,0,0.00,"PC - 3","Level 6","Location 1","Staff on Probation","Hedi Elna","Client Service Staff",Resigned
597,"Anny Kate",1880,1798,1380,56,26,0,703,38.38,0.83,"PC - 3","Level 8","Location 1","Serving Notice Period","Hedi Elna","Client Service Staff",Resigned
598,"Olimpia Euphemia",2800,2651,1708.5,120,29,0,1097.5,65.91,1.83,"PC - 3","Level 7","Location 4","Confirmed Staff","Hedi Elna","Client Service Staff",Active
599,"Marne Linn",4000,3550.5,600,392,57.5,0,2984.5,17.89,1.83,"PC - 3","Level 6","Location 1","Confirmed Staff","Agata Theodosia","Client Service Staff",Active
600,"Jemmy Alexa",4000,3310.25,2611,552,137.75,10,783,78.26,1.83,"PC - 2","Level 8","Location 7","Confirmed Staff","Grata Rochella","Client Service Staff",Active
601,"Anastasie Lindsay",4000,3438.5,3418,400,161.5,0,199,99.52,1.83,"PC - 3","Level 7","Location 4","Confirmed Staff","Oriana Tabby","Client Service Staff",Active
602,"Orelie Domeniga",3392,2911,3056.3,425,56,0,48,105.24,1.83,"PC - 5","Level 8","Location 7","Confirmed Staff","Rosabella Arlina","Client Service Staff",Active
603,"Anthia Emalia",3960,3562.75,2751,352,45.25,0,947.5,77,1.83,"PC - 1","Level 8","Location 3","Confirmed Staff","Margo Opaline","Client Service Staff",Active
604,"Tova Collette",3960,3448,2247,424,88,0,1225,64.8,1.83,"PC - 1","Level 8","Location 3","Confirmed Staff","Gisella Nickie","Client Service Staff",Active
605,"Darci Arabelle",3960,3496,2922,416,48,0,597,82.88,1.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Isahella Gwendolin","Client Service Staff",Active
606,"Jessalyn Kariotta",3960,3633,3024,272,55,0,617,82.16,1.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Em Cacilie","Client Service Staff",Active
607,"Kaylyn Carlene",3960,3380.5,3190,508,71.5,0,276.5,93.87,1.83,"PC - 2","Level 8","Location 7","Confirmed Staff","Laetitia Yoshi","Client Service Staff",Active
608,"Tiffie Mariann",3960,3651,3750,248,61,0,303,102.66,1.83,"PC - 2","Level 7","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
609,"Dorri Harmonie",3960,3541,2950.4,352,67,396,305,83,1.83,"PC - 2","Level 6","Location 7","Confirmed Staff","Dorotea Inger","Client Service Staff",Active
610,"Adda Rachel",3960,3575.5,2714,312,72.5,0,890.5,75.44,1.83,"PC - 1","Level 7","Location 3","Confirmed Staff","Ilsa Marigold","Client Service Staff",Active
611,"Yevette Analiese",3920,3342,1858,532,46,0,1627,55.4,1.83,"PC - 3","Level 7","Location 4","Confirmed Staff","Hedi Elna","Client Service Staff",Active
612,"Ina Katherina",3880,3280,3278,528,72,0,96,100.06,1.83,"PC - 1","Level 8","Location 3","Confirmed Staff","Ilsa Marigold","Client Service Staff",Active
613,"Casandra Goldie",416,368,235,48,0,0,191,31.93,0.25,"PC - 5","Level 8","Location 7","Serving Notice Period","Orsa Margeaux","Client Service Staff",Resigned
614,"Bliss Darcy",3880,2637.5,2319.5,1144,98.5,0,344,87.08,1.83,"PC - 1","Level 8","Location 3","Confirmed Staff","Cherry Fancie","Client Service Staff",Active
615,"Dorolisa Tedda",3840,3559,2860,184,97,0,1015,79.4,1.83,"PC - 3","Level 8","Location 4","Confirmed Staff","Genvieve Celeste","Client Service Staff",Active
616,"Ester Ardisj",3840,3319,3219,408,113,0,731,95.64,1.83,"PC - 3","Level 7","Location 1","Confirmed Staff","Cortney Wanids","Client Service Staff",Active
617,"Emylee Danna",3840,3488.5,1833.5,264,87.5,0,1729,51.42,1.83,"PC - 3","Level 7","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
618,"Maria Aubrey",3840,3110,2753.5,684,46,64,375.5,88.54,1.83,"PC - 1","Level 6","Location 3","Confirmed Staff","Em Cacilie","Client Service Staff",Active
619,"Meryl Kata",3840,3402.25,3440,352,85.75,0,70,101.16,1.83,"PC - 1","Level 8","Location 3","Confirmed Staff","Cherry Fancie","Client Service Staff",Active
620,"Marthena Mallorie",3800,3298.5,3119,392,109.5,0,519.5,94.54,1.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Rosalynd Catina","Client Service Staff",Active
621,"Louise Allis",3800,3441.5,3629,248,110.5,0,325.5,104.54,1.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Benedikta Kirbee","Client Service Staff",Active
622,"Aurilia Ardra",3800,3216.25,2876.5,494,89.75,0,661.5,89.9,1.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Xylina Beatriz","Client Service Staff",Active
623,"Nelia Eartha",3800,3311.5,3381,392,96.5,0,160.5,102.19,1.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Zaneta Arlette","Client Service Staff",Active
624,"Roanna Maribel",3800,3315.5,2938,424,60.5,0,717.5,87.7,1.75,"PC - 3","Level 7","Location 1","Confirmed Staff","Cortney Wanids","Client Service Staff",Active
625,"Anselma Kellen",3800,3458.5,3470,288,53.5,0,232,100.12,1.75,"PC - 5","Level 7","Location 1","Confirmed Staff","Guenevere Florida","Client Service Staff",Active
626,"Irita Allsun",3800,3305.5,3244,416,78.5,0,241.5,97.73,1.75,"PC - 6","Level 8","Location 1","Confirmed Staff","Gert Editha","Client Service Staff",Active
627,"Grete Devonne",2320,2000,2064,216,104,0,343.5,102.26,1.75,"PC - 3","Level 7","Location 4","Confirmed Staff","Genvieve Celeste","Client Service Staff",Active
628,"Hazel Carolina",3800,3325,2474,340,135,0,1216.5,74.47,1.75,"PC - 3","Level 7","Location 2","Confirmed Staff","Cristina Maren","Client Service Staff",Active
629,"Erena Malanie",3800,3265.5,2496,424,110.5,0,1194.5,74.52,1.75,"PC - 3","Level 7","Location 5","Confirmed Staff","Deloris Gabriella","Client Service Staff",Active
630,"Cosetta Daloris",2080,1644,1324,316,120,0,602,80.09,1.75,"PC - 2","Level 8","Location 7","Serving Notice Period","Aimil Latisha","Client Service Staff",Active
631,"Ailyn Marie-Ann",2080,1767,1632,208,105,0,644.5,73.91,1.75,"PC - 2","Level 8","Location 7","Serving Notice Period","Aimil Latisha","Client Service Staff",Active
632,"Maud Walliw",3800,3212,2706,460,128,0,994,83.04,1.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
633,"Zsa Zsa Flo",2720,2354,2026,232,134,0,434,86.2,1.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
634,"Aliza Renee",3800,3042.1899999999996,2401,632,125.81,8,882.85,78.15,1.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tatiana Roxanna","Client Service Staff",Active
635,"Hendrika Nettle",3800,3424,3368,280,96,0,102,98.32,1.75,"PC - 2","Level 7","Location 7","Confirmed Staff","Sile Lorrie","Client Service Staff",Active
636,"Susi Zarla",3800,3255.5,2176,436,108.5,0,1242,64.54,1.75,"PC - 6","Level 8","Location 7","Confirmed Staff","Cassandra Katerina","Client Service Staff",Active
637,"Rhetta Beverlie",3800,3196,1596,500,104,0,1740.5,49.54,1.75,"PC - 6","Level 8","Location 7","Confirmed Staff","Leta Evangeline","Client Service Staff",Active
638,"Joellen Brigida",3800,3314.5,2444,364,121.5,0,922.5,71.26,1.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Dora Jobi","Client Service Staff",Active
639,"Kinna Dotty",864,704.5,464,64,95.5,0,377.5,32.93,0.42,"PC - 2","Level 8","Location 7","Serving Notice Period","Tallulah Kassia","Client Service Staff",Resigned
640,"Amitie Judith",3800,3314,2644,364,122,0,825.5,78,1.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Tallulah Kassia","Client Service Staff",Active
641,"Prisca Bobinette",2008,1762,1392,160,86,0,434,52.76,1.75,"PC - 1","Level 8","Location 3","Awaiting Termination","Blondy Tatiania","Client Service Staff",Active
642,"Zulema Ainslee",3800,3402,2658.5,280,118,0,775.5,74.53,1.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Dannie Clotilda","Client Service Staff",Active
643,"Dorothy Annice",3800,3336.5,3439,344,119.5,0,841.5,99.16,1.75,"PC - 2","Level 8","Location 7","Confirmed Staff","Dannie Clotilda","Client Service Staff",Active
644,"Liza Lynna",856,664,0,84,108,4,724,0,0.42,"PC - 2","Level 8","Location 7","Serving Notice Period","Laetitia Yoshi","Client Service Staff",Resigned
645,"Willa Naoma",2032,1701,742.5,212,119,0,1086.5,45.62,1.75,"PC - 2","Level 8","Location 7","Serving Notice Period","Terza Gwyn","Client Service Staff",Active
646,"Edie Pierette",3800,3444,2306,288,68,4,1207,63.47,1.75,"PC - 5","Level 8","Location 7","Confirmed Staff","Rosabella Arlina","Client Service Staff",Active
