STAFF,Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Apr Utilization%,May Utilization%,Jun Utilization%,Jul Utilization%,Aug Utilization%,Sep Utilization%,Oct Utilization%,Nov Utilization%,Dec Utilization%,Jan Utilization%,Feb Utilization%,Mar Utilization%,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%
Staff 17-18,583,PC - 1,Deva Anita,Level 7,Location 3,Client Service Staff,Confirmed Staff,Cynthia Leonora,2016-04-30,Active,,105.00%,72.73%,52.38%,86.84%,91.67%,101.32%,88.24%,68.29%,36.36%,90.48%,88.89%,105.00%,2080.00,1812.00,1514.00,248.00,20.00,0.00,344.00,83.55%
Staff 17-18,584,PC - 1,Darline Gerhardine,Level 7,Location 3,Client Service Staff,Confirmed Staff,Nerissa Jackquelin,2016-04-30,Active,,100.00%,100.00%,100.00%,105.26%,100.00%,100.00%,97.22%,101.19%,100.00%,90.48%,110.53%,100.00%,2080.00,1792.00,1798.00,272.00,16.00,0.00,32.00,100.33%
Staff 17-18,585,PC - 2,Morganica Nanny,Level 7,Location 7,Client Service Staff,Confirmed Staff,Cosette Lavena,2016-04-30,Active,,63.16%,102.70%,19.05%,104.70%,36.36%,106.51%,100.00%,100.00%,100.00%,100.00%,100.00%,41.67%,2080.00,1777.00,1494.41,264.00,39.00,0.00,377.00,84.10%
Staff 17-18,586,PC - 2,Madonna Constantina,Level 7,Location 7,Client Service Staff,Confirmed Staff,Cosette Lavena,2016-04-30,Active,,100.00%,97.37%,92.31%,74.40%,14.29%,95.24%,108.52%,100.00%,100.00%,100.00%,100.00%,131.25%,2080.00,1853.00,1700.00,192.00,35.00,0.00,224.00,91.74%
Staff 17-18,587,PC - 2,Gretta Sarina,Level 7,Location 9,Client Service Staff,Confirmed Staff,Orelee Hanna,2016-04-30,Active,,110.34%,101.59%,90.00%,100.60%,-4.89%,209.52%,100.00%,100.00%,100.00%,100.00%,80.00%,70.00%,2080.00,1894.50,1816.00,168.00,17.50,0.00,265.00,95.86%
Staff 17-18,588,PC - 1,Nonie Jasmina,Level 6,Location 3,Client Service Staff,Confirmed Staff,Audi Stephana,2016-04-30,Active,,100.00%,86.96%,113.64%,103.07%,109.52%,100.00%,103.82%,100.66%,100.00%,100.60%,94.59%,100.00%,2080.00,1820.00,1840.00,240.00,20.00,0.00,57.00,101.10%
Staff 17-18,589,PC - 1,Rebe Melicent,Level 7,Location 3,Client Service Staff,Confirmed Staff,Marris Gilda,2016-04-30,Active,,100.00%,100.00%,95.00%,94.74%,0.00%,127.78%,0.00%,79.55%,88.10%,113.04%,99.37%,97.96%,2080.00,1878.25,1610.00,200.00,1.75,0.00,268.25,85.72%
Staff 17-18,590,PC - 3,Karin Alica,Level 6,Location 4,Client Service Staff,Confirmed Staff,Hedi Elna,2016-04-30,Active,,73.68%,35.23%,142.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,191.30%,276.32%,115.91%,2080.00,1956.00,1310.00,112.00,12.00,0.00,1054.00,66.97%
Staff 17-18,591,PC - 3,Morgana Blondie,Level 6,Location 2,Client Service Staff,Confirmed Staff,Tallia Eyde,2016-04-30,Active,,100.00%,102.22%,95.00%,95.24%,95.00%,107.14%,100.00%,100.00%,111.11%,100.00%,102.56%,9.09%,2080.00,1824.00,1664.00,224.00,32.00,24.00,160.00,91.23%
Staff 17-18,592,PC - 2,Querida Dulcine,Level 8,Location 7,Client Service Staff,Secondee-Outward-Without Pay,Grata Rochella,2016-04-30,Secondment,,100.00%,86.05%,96.34%,108.75%,90.73%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,1920.00,1767.00,1737.00,136.00,17.00,0.00,36.50,98.30%
Staff 17-18,593,PC - 2,Dorotea Inger,Level 3,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2016-04-30,Active,,5.00%,5.68%,0.63%,18.32%,2.34%,7.89%,8.65%,12.67%,1.79%,0.00%,11.25%,15.00%,2080.00,1665.20,124.00,376.00,38.80,860.00,692.20,7.45%
Staff 17-18,595,PC - 1,Bea Vale,Level 7,Location 3,Client Service Staff,Serving Notice Period,Jillana Vivi,2016-05-31,Active,,129.03%,31.52%,1.77%,83.22%,101.91%,100.00%,100.00%,88.89%,100.00%,100.00%,100.47%,100.00%,2080.00,1765.75,1524.00,288.00,26.25,0.00,286.50,86.31%
Staff 17-18,598,PC - 3,Olimpia Euphemia,Level 7,Location 4,Client Service Staff,Resigned,Hedi Elna,2016-05-31,Resigned,2017-09-30,100.00%,100.00%,114.59%,47.62%,0.00%,0.00%,0,0,0,0,0,0,880.00,820.50,572.50,56.00,3.50,0.00,272.00,69.77%
Staff 17-18,599,PC - 3,Marne Linn,Level 5,Location 1,Client Service Staff,Confirmed Staff,Agata Theodosia,2016-05-31,Active,,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2080.00,1926.00,120.00,136.00,18.00,0.00,1808.00,6.23%
Staff 17-18,600,PC - 2,Jemmy Alexa,Level 8,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,2016-05-31,Active,,25.69%,20.00%,115.79%,135.00%,132.35%,95.00%,100.00%,100.00%,103.57%,100.00%,101.13%,100.00%,2080.00,1714.75,1633.00,352.00,13.25,2.00,112.00,95.23%
Staff 17-18,601,PC - 3,Anastasie Lindsay,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-05-31,Active,,100.00%,100.00%,91.11%,78.79%,107.14%,95.24%,100.00%,100.00%,84.62%,100.00%,100.00%,100.00%,2080.00,1791.00,1732.00,264.00,25.00,0.00,75.00,96.71%
Staff 17-18,602,PC - 2,Orelie Domeniga,Level 8,Location 7,Client Service Staff,Resigned,Rosabella Arlina,2016-05-31,Resigned,2017-12-31,100.00%,104.47%,100.00%,116.46%,127.08%,109.17%,102.05%,101.14%,100.00%,0,0,0,1512.00,1249.00,1336.80,261.00,2.00,0.00,8.00,107.03%
Staff 17-18,603,PC - 1,Anthia Emalia,Level 7,Location 3,Client Service Staff,Confirmed Staff,Margo Opaline,2016-05-31,Active,,0.00%,0.00%,65.00%,105.26%,100.00%,173.81%,81.25%,100.00%,133.75%,94.44%,100.47%,100.00%,2080.00,1823.25,1575.00,240.00,16.75,0.00,384.00,86.38%
Staff 17-18,604,PC - 3,Tova Collette,Level 7,Location 1,Client Service Staff,Confirmed Staff,Misti Helena,2016-05-31,Active,,27.63%,41.85%,83.33%,94.44%,60.87%,100.00%,20.00%,0.00%,200.00%,86.36%,100.00%,65.00%,2080.00,1816.00,1303.00,264.00,0.00,0.00,513.00,71.75%
Staff 17-18,605,PC - 1,Darci Arabelle,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-05-31,Active,,53.47%,77.27%,100.00%,78.75%,139.47%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,100.00%,2080.00,1851.00,1754.00,224.00,5.00,0.00,60.00,94.76%
Staff 17-18,606,PC - 1,Jessalyn Kariotta,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-05-31,Active,,100.00%,100.00%,95.24%,100.00%,100.00%,100.00%,89.47%,109.09%,100.00%,100.00%,100.00%,38.89%,2080.00,1968.00,1872.00,104.00,8.00,0.00,96.00,95.12%
Staff 17-18,607,PC - 2,Kaylyn Carlene,Level 8,Location 7,Client Service Staff,Confirmed Staff,Laetitia Yoshi,2016-05-31,Active,,100.00%,100.00%,90.48%,95.24%,105.56%,100.00%,100.00%,100.00%,68.75%,123.81%,100.00%,100.00%,2080.00,1848.00,1832.00,232.00,0.00,0.00,16.00,99.13%
Staff 17-18,608,PC - 2,Tiffie Mariann,Level 7,Location 7,Client Service Staff,Confirmed Staff,Aimil Latisha,2016-05-31,Active,,100.00%,100.00%,100.00%,95.24%,122.42%,95.63%,151.32%,66.48%,159.38%,80.95%,105.00%,85.00%,2080.00,1933.00,2002.00,144.00,3.00,0.00,106.00,103.57%
Staff 17-18,609,PC - 2,Dorri Harmonie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Josi Ula,2016-05-31,Active,,100.00%,100.00%,102.56%,95.24%,104.35%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2080.00,1804.00,1808.00,256.00,20.00,0.00,0.00,100.22%
Staff 17-18,610,PC - 1,Adda Rachel,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ilsa Marigold,2016-05-31,Active,,75.68%,44.89%,86.25%,81.25%,0.00%,184.21%,100.00%,100.00%,100.00%,91.30%,90.00%,84.62%,2080.00,1876.00,1593.00,200.00,4.00,0.00,283.00,84.91%
Staff 17-18,611,PC - 3,Yevette Analiese,Level 7,Location 4,Client Service Staff,Serving Notice Period,Hedi Elna,2016-05-31,Active,,105.26%,109.09%,99.04%,0.00%,0.00%,0.00%,5.26%,87.50%,90.98%,77.50%,100.00%,-28.57%,2080.00,1762.50,1039.00,292.00,25.50,0.00,786.50,58.95%
Staff 17-18,612,PC - 1,Ina Katherina,Level 8,Location 3,Client Service Staff,Confirmed Staff,Sheila Papagena,2016-05-31,Active,,60.00%,81.82%,90.00%,123.53%,104.55%,100.00%,100.00%,100.00%,100.00%,76.47%,78.57%,187.50%,2080.00,1696.00,1640.00,368.00,16.00,0.00,64.00,96.70%
Staff 17-18,614,PC - 1,Bliss Darcy,Level 8,Location 3,Client Service Staff,Serving Notice Period,Jillana Vivi,2016-05-31,Active,,83.33%,82.50%,52.27%,142.67%,28.57%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,90.00%,2080.00,1118.00,910.00,952.00,10.00,0.00,208.00,81.40%
Staff 17-18,615,PC - 3,Dorolisa Tedda,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-05-31,Active,,101.27%,-10.71%,45.45%,190.48%,100.00%,100.00%,100.00%,102.33%,100.00%,85.71%,-1.27%,150.00%,2080.00,1968.00,1740.00,104.00,8.00,0.00,256.00,88.41%
Staff 17-18,616,PC - 3,Ester Ardisj,Level 6,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,2016-05-31,Active,,0.00%,186.36%,13.33%,128.57%,66.67%,140.00%,100.00%,100.00%,100.00%,175.61%,167.50%,100.00%,2080.00,1823.50,1992.00,240.00,16.50,0.00,350.50,109.24%
Staff 17-18,617,PC - 3,Emylee Danna,Level 7,Location 2,Client Service Staff,Confirmed Staff,Marney Anderea,2016-05-31,Active,,0.00%,48.91%,97.47%,10.00%,0.00%,58.88%,111.54%,100.00%,100.00%,100.00%,105.00%,31.82%,2080.00,1938.00,1195.50,136.00,6.00,0.00,774.50,61.69%
Staff 17-18,618,PC - 1,Maria Aubrey,Level 5,Location 8,Client Service Staff,Confirmed Staff,Em Cacilie,2016-05-31,Active,,100.00%,100.00%,100.00%,88.44%,71.71%,0.00%,100.00%,100.00%,68.75%,100.00%,100.00%,100.00%,2080.00,1552.50,1456.50,512.00,15.50,0.00,104.00,93.82%
Staff 17-18,619,PC - 1,Meryl Kata,Level 8,Location 3,Client Service Staff,Confirmed Staff,Marris Gilda,2016-05-31,Active,,89.47%,113.04%,100.00%,95.24%,104.76%,100.00%,92.36%,106.87%,100.00%,100.66%,101.50%,100.66%,2080.00,1899.25,1912.00,168.00,12.75,0.00,8.00,100.67%
Staff 17-18,620,PC - 2,Marthena Mallorie,Level 7,Location 7,Client Service Staff,Confirmed Staff,Cody Ashlan,2016-06-30,Active,,100.00%,100.00%,87.10%,98.06%,53.73%,96.39%,100.00%,100.00%,100.00%,100.00%,100.00%,94.12%,2080.00,1814.00,1719.00,232.00,34.00,0.00,108.00,94.76%
Staff 17-18,621,PC - 3,Louise Allis,Level 7,Location 1,Client Service Staff,Confirmed Staff,Benedikta Kirbee,2016-06-30,Active,,5.26%,165.22%,115.00%,95.24%,176.36%,75.00%,129.41%,102.75%,195.12%,100.00%,30.00%,166.67%,2080.00,1915.50,2155.00,136.00,28.50,0.00,128.00,112.50%
Staff 17-18,622,PC - 3,Aurilia Ardra,Level 7,Location 4,Client Service Staff,Confirmed Staff,Genvieve Celeste,2016-06-30,Active,,126.74%,-23.80%,0.00%,63.69%,100.00%,127.50%,106.06%,105.00%,119.17%,101.71%,101.41%,100.00%,2080.00,1707.75,1407.00,350.00,22.25,0.00,414.00,82.39%
Staff 17-18,623,PC - 3,Nelia Eartha,Level 7,Location 1,Client Service Staff,Confirmed Staff,Zaneta Arlette,2016-06-30,Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,111.39%,100.00%,100.00%,2080.00,1782.00,1800.00,264.00,34.00,0.00,32.00,101.01%
Staff 17-18,624,PC - 3,Roanna Maribel,Level 6,Location 1,Client Service Staff,Confirmed Staff,Cortney Wanids,2016-06-30,Active,,75.00%,121.74%,94.32%,92.86%,86.96%,119.05%,100.00%,100.00%,68.75%,100.00%,100.00%,100.00%,2080.00,1816.00,1766.00,264.00,0.00,0.00,50.00,97.25%
Staff 17-18,625,PC - 3,Anselma Kellen,Level 6,Location 1,Client Service Staff,Confirmed Staff,Orsa Margeaux,2016-06-30,Active,,0.00%,173.91%,122.92%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,111.04%,100.00%,100.00%,2080.00,1886.50,1934.00,176.00,17.50,0.00,96.00,102.52%
Staff 17-18,626,PC - 3,Irita Allsun,Level 7,Location 1,Client Service Staff,Confirmed Staff,Gert Editha,2016-06-30,Active,,100.00%,100.00%,100.00%,100.00%,65.22%,166.67%,109.52%,100.00%,108.33%,110.23%,100.00%,100.00%,2080.00,1776.00,1834.00,280.00,24.00,0.00,112.00,103.27%
Staff 17-18,627,PC - 3,Grete Devonne,Level 7,Location 4,Client Service Staff,Resigned,Genvieve Celeste,2016-06-30,Resigned,2017-07-31,100.00%,100.00%,100.00%,100.00%,0,0,0,0,0,0,0,0,600.00,584.00,584.00,16.00,0.00,0.00,0.00,100.00%
Staff 17-18,628,PC - 3,Hazel Carolina,Level 7,Location 2,Client Service Staff,Confirmed Staff,Prudi Delly,2016-06-30,Active,,1.25%,5.03%,43.71%,0.00%,60.00%,95.24%,100.00%,100.00%,218.75%,100.00%,173.33%,14.13%,2080.00,1860.50,1375.00,196.00,23.50,0.00,738.50,73.90%
Staff 17-18,629,PC - 3,Erena Malanie,Level 7,Location 5,Client Service Staff,Confirmed Staff,Deloris Gabriella,2016-06-30,Active,,94.12%,195.45%,72.50%,82.81%,95.45%,100.00%,100.00%,100.00%,100.00%,102.13%,100.00%,33.33%,2080.00,1758.00,1750.00,296.00,26.00,0.00,330.00,99.54%
Staff 17-18,630,PC - 2,Cosetta Daloris,Level 8,Location 7,Client Service Staff,Resigned,Aimil Latisha,2016-06-30,Resigned,2017-06-30,73.68%,100.00%,0.00%,0,0,0,0,0,0,0,0,0,360.00,272.00,216.00,88.00,0.00,0.00,56.00,79.41%
Staff 17-18,631,PC - 2,Ailyn Marie-Ann,Level 8,Location 7,Client Service Staff,Resigned,Aimil Latisha,2016-06-30,Resigned,2017-06-30,100.00%,0.00%,0.00%,0,0,0,0,0,0,0,0,0,360.00,320.00,144.00,40.00,0.00,0.00,178.00,45.00%
Staff 17-18,632,PC - 2,Maud Walliw,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,2016-06-30,Active,,100.00%,25.00%,62.16%,185.00%,33.33%,120.00%,100.00%,100.00%,100.00%,100.00%,71.43%,105.26%,2080.00,1796.00,1674.00,272.00,12.00,0.00,232.00,93.21%
Staff 17-18,633,PC - 2,Zsa Zsa Flo,Level 8,Location 7,Client Service Staff,Resigned,Tatiana Roxanna,2016-06-30,Resigned,2017-09-30,94.74%,51.43%,128.21%,104.76%,100.00%,25.00%,0,0,0,0,0,0,1000.00,904.00,784.00,64.00,32.00,0.00,176.00,86.73%
Staff 17-18,634,PC - 2,Aliza Renee,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tatiana Roxanna,2016-06-30,Active,,86.67%,46.43%,0.00%,112.10%,68.42%,71.88%,125.00%,100.00%,100.00%,110.34%,104.68%,100.00%,2080.00,1635.34,1447.00,424.00,20.66,0.00,206.00,88.48%
Staff 17-18,635,PC - 2,Hendrika Nettle,Level 7,Location 7,Client Service Staff,Confirmed Staff,Naomi Rebekah,2016-06-30,Active,,100.00%,100.00%,90.91%,95.00%,105.56%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,94.12%,2080.00,1900.00,1876.00,168.00,12.00,0.00,24.00,98.74%
Staff 17-18,636,PC - 2,Susi Zarla,Level 8,Location 7,Client Service Staff,Confirmed Staff,Kati Rosalyn,2016-06-30,Active,,52.94%,146.15%,40.00%,61.90%,93.42%,95.00%,100.00%,100.00%,108.33%,100.00%,100.00%,100.00%,2080.00,1763.00,1625.00,264.00,53.00,0.00,181.00,92.17%
Staff 17-18,637,PC - 2,Rhetta Beverlie,Level 8,Location 7,Client Service Staff,Confirmed Staff,Kati Rosalyn,2016-06-30,Active,,34.21%,106.25%,23.68%,27.78%,136.76%,27.78%,110.53%,94.44%,137.50%,7.92%,10.00%,5.88%,2080.00,1695.50,952.00,336.00,48.50,0.00,836.00,56.15%
Staff 17-18,638,PC - 2,Joellen Brigida,Level 8,Location 7,Client Service Staff,Confirmed Staff,Grata Rochella,2016-06-30,Active,,100.00%,100.00%,70.00%,85.71%,19.05%,138.75%,100.00%,100.00%,100.00%,100.00%,60.00%,133.33%,2080.00,1846.00,1718.00,224.00,10.00,0.00,136.00,93.07%
Staff 17-18,640,PC - 2,Amitie Judith,Level 8,Location 7,Client Service Staff,Confirmed Staff,Tallulah Kassia,2016-06-30,Active,,100.00%,100.00%,90.24%,47.37%,86.76%,95.24%,100.00%,100.00%,100.00%,100.00%,100.00%,86.67%,2080.00,1860.00,1722.00,216.00,4.00,0.00,138.00,92.58%
Staff 17-18,641,PC - 1,Prisca Bobinette,Level 8,Location 3,Client Service Staff,Resigned,Blondy Tatiania,2016-06-30,Resigned,2017-05-31,26.32%,0.00%,0,0,0,0,0,0,0,0,0,0,288.00,280.00,40.00,8.00,0.00,0.00,272.00,14.29%
Staff 17-18,642,PC - 2,Zulema Ainslee,Level 8,Location 7,Client Service Staff,Confirmed Staff,Dannie Clotilda,2016-06-30,Active,,47.37%,135.71%,75.00%,109.70%,89.80%,100.00%,100.00%,100.00%,100.00%,100.00%,60.00%,135.90%,2080.00,1980.00,1913.00,92.00,8.00,0.00,67.00,96.62%
Staff 17-18,643,PC - 2,Dorothy Annice,Level 8,Location 7,Client Service Staff,Confirmed Staff,Dannie Clotilda,2016-06-30,Active,,138.82%,132.56%,136.36%,95.24%,53.73%,0.00%,263.16%,120.45%,268.75%,130.95%,115.00%,107.32%,2080.00,1878.00,2447.00,192.00,10.00,0.00,190.00,130.30%
Staff 17-18,645,PC - 2,Willa Naoma,Level 8,Location 7,Client Service Staff,Resigned,Terza Gwyn,2016-06-30,Resigned,2017-05-31,68.42%,27.78%,0,0,0,0,0,0,0,0,0,0,312.00,296.00,144.00,16.00,0.00,0.00,160.00,48.65%
Staff 17-18,646,PC - 2,Edie Pierette,Level 8,Location 7,Client Service Staff,Resigned,Rosabella Arlina,2016-06-30,Resigned,2018-05-31,90.00%,100.00%,90.48%,100.00%,100.00%,92.86%,105.56%,100.00%,99.06%,100.00%,100.00%,100.00%,2080.00,1895.50,1858.00,184.00,0.50,4.00,57.00,98.02%
Staff 17-18,647,PC - 2,Basia Krissy,Level 7,Location 9,Client Service Staff,Confirmed Staff,Jolyn Briney,2016-06-30,Active,,104.83%,101.51%,92.50%,101.82%,50.00%,150.00%,100.00%,100.00%,100.00%,100.00%,94.74%,100.00%,2080.00,1835.50,1836.00,224.00,20.50,0.00,31.00,100.03%
Staff 17-18,649,PC - 3,Angelika Lynett,Level 8,Location 2,Client Service Staff,Confirmed Staff,Moira Vivien,2016-06-30,Active,,43.33%,98.57%,86.32%,35.71%,0.00%,39.38%,250.00%,126.19%,84.62%,54.14%,10.13%,60.45%,2080.00,1785.50,1271.00,280.00,14.50,0.00,755.00,71.18%
Staff 17-18,650,PC - 3,Jacqui Willie,Level 8,Location 2,Client Service Staff,Confirmed Staff,Prudi Delly,2016-06-30,Active,,47.06%,61.75%,0.00%,39.87%,2.50%,31.25%,166.67%,80.95%,31.37%,53.33%,342.50%,101.82%,2080.00,1801.50,1479.00,224.00,54.50,0.00,853.00,82.10%
Staff 17-18,651,PC - 1,Charla Anthea,Level 8,Location 3,Client Service Staff,Confirmed Staff,Emelda Jackqueline,2016-06-30,Active,,15.00%,104.55%,115.00%,92.11%,83.33%,101.25%,41.45%,91.17%,123.08%,100.00%,100.47%,100.00%,2080.00,1798.75,1581.00,256.00,25.25,0.00,301.00,87.89%
Staff 17-18,653,PC - 1,Chrissie Ivie,Level 6,Location 3,Client Service Staff,Confirmed Staff,Trudey Lissi,2016-06-30,Active,,189.47%,65.22%,-27.27%,47.62%,57.14%,87.50%,115.79%,0.00%,62.50%,100.00%,75.00%,0.00%,2080.00,1904.00,1192.00,176.00,0.00,0.00,712.00,62.61%
Staff 17-18,654,PC - 1,Carlen Donnamarie,Level 8,Location 3,Client Service Staff,Confirmed Staff,Sheila Papagena,2016-06-30,Active,,100.00%,27.78%,68.29%,95.24%,77.78%,132.89%,80.00%,114.29%,100.00%,100.00%,100.00%,92.31%,2080.00,1724.00,1570.00,312.00,44.00,0.00,180.00,91.07%
Staff 17-18,655,PC - 3,Abigail Amabel,Level 6,Location 1,Client Service Staff,Confirmed Staff,Iormina Lucienne,2016-06-30,Active,,5.31%,0.00%,88.64%,178.57%,21.05%,200.00%,100.00%,100.00%,72.22%,121.74%,100.00%,100.00%,2080.00,1952.00,1728.50,128.00,0.00,0.00,248.00,88.55%
Staff 17-18,656,PC - 1,Maddi Lyndsey,Level 7,Location 3,Client Service Staff,Confirmed Staff,Dionne Ronna,2016-06-30,Active,,84.21%,86.96%,100.00%,95.00%,108.33%,117.50%,104.70%,55.56%,75.00%,130.56%,93.75%,139.71%,2080.00,1781.00,1780.00,272.00,27.00,0.00,160.00,99.94%
Staff 17-18,657,PC - 1,Sayre Nadya,Level 6,Location 3,Client Service Staff,Confirmed Staff,Sybil Georgianna,2016-06-30,Active,,100.00%,60.87%,63.64%,72.22%,123.81%,249.34%,38.89%,150.00%,136.67%,116.67%,100.00%,100.00%,2080.00,1792.00,1939.00,276.00,12.00,16.00,192.00,108.20%
Staff 17-18,658,PC - 3,Charmain Ashlie,Level 6,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2016-06-30,Active,,100.00%,100.00%,100.00%,96.82%,104.76%,100.70%,91.18%,100.00%,100.00%,100.63%,100.00%,100.00%,2080.00,1851.00,1844.00,224.00,5.00,0.00,12.00,99.62%
Staff 17-18,659,PC - 3,Julianne Julina,Level 7,Location 1,Client Service Staff,Confirmed Staff,Morgen Hailee,2016-06-30,Active,,100.00%,40.91%,71.43%,0.00%,235.71%,102.50%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2080.00,1824.00,1744.00,256.00,0.00,0.00,240.00,95.61%
Staff 17-18,660,PC - 2,Leandra Filide,Level 7,Location 7,Client Service Staff,Confirmed Staff,Jillian Lorelei,2016-06-30,Active,,100.00%,51.22%,90.91%,45.86%,134.38%,100.00%,117.76%,81.82%,125.00%,100.00%,100.00%,100.00%,2080.00,1889.00,1790.00,184.00,7.00,0.00,198.00,94.76%
Staff 17-18,661,PC - 2,Mollee Pearle,Level 8,Location 7,Client Service Staff,Confirmed Staff,Rosabella Arlina,2016-06-30,Active,,0.00%,100.00%,157.89%,94.52%,95.00%,84.82%,100.00%,97.37%,98.33%,103.97%,95.83%,92.65%,2080.00,1685.50,1592.00,389.00,5.50,0.00,224.00,94.45%
Staff 17-18,662,PC - 3,Alvera Gerianna,Level 8,Location 1,Client Service Staff,Confirmed Staff,Rosalynd Catina,2016-06-30,Active,,100.00%,86.36%,105.56%,100.00%,100.00%,121.05%,100.00%,100.00%,100.00%,86.75%,94.74%,100.00%,2080.00,1854.00,1840.00,224.00,2.00,0.00,96.00,99.24%
Staff 17-18,663,PC - 1,Ranique Aundrea,Level 7,Location 3,Client Service Staff,Confirmed Staff,Ezmeralda Nisse,2016-06-30,Active,,17.57%,73.68%,149.38%,130.95%,93.75%,100.00%,100.00%,100.00%,100.00%,102.44%,100.00%,100.00%,2080.00,1814.50,1777.50,248.00,17.50,0.00,162.00,97.96%
Staff 17-18,665,PC - 1,Paula Bridie,Level 7,Location 3,Client Service Staff,Confirmed Staff,Josey Rorie,2016-06-30,Active,,69.74%,47.83%,96.55%,85.71%,65.48%,116.25%,122.22%,100.00%,100.00%,100.00%,100.00%,100.00%,2080.00,1828.00,1658.00,248.00,4.00,0.00,170.00,90.70%
Staff 17-18,666,PC - 3,Adore Ellen,Level 8,Location 1,Client Service Staff,Confirmed Staff,Landon Browning,2016-06-30,Active,,100.00%,100.00%,100.00%,104.76%,100.00%,100.00%,100.00%,100.00%,100.00%,81.82%,47.37%,138.89%,2080.00,1874.00,1826.00,206.00,0.00,0.00,56.00,97.44%
Staff 17-18,667,PC - 1,Evangelina Emelita,Level 8,Location 3,Client Service Staff,Confirmed Staff,Emelda Jackqueline,2016-06-30,Active,,15.79%,65.22%,180.00%,80.92%,104.76%,100.00%,100.00%,60.47%,81.25%,100.00%,100.37%,100.00%,2080.00,1779.50,1539.00,272.00,28.50,0.00,249.00,86.48%
Staff 17-18,668,PC - 3,Lauryn Claretta,Level 8,Location 1,Client Service Staff,Confirmed Staff,Ophelie Jyoti,2016-06-30,Active,,100.00%,137.50%,125.54%,108.57%,108.72%,111.88%,112.82%,111.76%,123.33%,100.00%,107.69%,114.29%,2080.00,1828.00,2081.00,208.00,44.00,0.00,8.50,113.84%
Staff 17-18,669,PC - 3,Bibi Mallory,Level 8,Location 1,Client Service Staff,Confirmed Staff,Landon Browning,2016-06-30,Active,,105.88%,82.35%,109.52%,77.11%,100.00%,100.00%,100.00%,100.00%,100.00%,85.71%,115.00%,100.00%,2080.00,1854.00,1816.00,208.00,18.00,0.00,64.00,97.95%
Staff 17-18,670,PC - 1,Tanya Ilysa,Level 7,Location 3,Client Service Staff,Confirmed Staff,Josey Rorie,2016-06-30,Active,,144.74%,150.00%,149.34%,102.98%,100.66%,100.00%,109.72%,90.91%,100.00%,88.69%,83.65%,100.00%,2080.00,1808.00,1995.00,264.00,8.00,0.00,56.00,110.34%
Staff 17-18,671,PC - 2,Lenora Nydia,Level 2,Location 9,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2016-06-30,Active,,35.16%,14.04%,4.51%,21.25%,15.63%,108.75%,9.87%,7.95%,23.08%,7.14%,18.75%,25.63%,2080.00,1757.50,432.50,224.00,98.50,1344.50,0.00,24.61%
Staff 17-18,672,PC - 3,Hayley Maurizia,Level 8,Location 1,Client Service Staff,Resigned,Dottie Bidget,2016-07-31,Resigned,2017-09-30,105.88%,95.24%,0.00%,0.00%,80.92%,0.00%,0,0,0,0,0,0,960.00,861.00,444.00,80.00,19.00,425.00,0.00,51.57%
Staff 17-18,673,PC - 2,Lorelle Willi,Level 7,Location 7,Client Service Staff,Resigned,0,2016-07-31,Resigned,2017-11-30,72.97%,136.00%,100.00%,51.19%,128.75%,72.50%,98.68%,100.00%,0,0,0,0,1240.00,1130.00,1062.00,80.00,30.00,0.00,130.00,93.98%
